Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP
ch6_intro_0,Setiap langkah terasa sama,ch6_intro_1,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,,
ch6_intro_1,"Sama kosongnya, sama sia-sianya",ch6_intro_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,,
ch6_bus1,"Dulu aku pikir, setelah semua yang terjadi... aku bakal terbiasa dengan rasa kehilangan",ch6_bus2,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,,
ch6_bus2,"Tapi ternyata, yang datang bukan ketenangan",ch6_bus3,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,,
ch6_bus3,Cuma kekosongan yang makin jadi-jadi,ch6_bus4,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,,
ch6_bus4,"Sekarang aku nggak yakin lagi... apakah aku benar-benar hidup,",ch6_bus5,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,,
ch6_bus5,atau cuma numpang lewat di hari-hari yang sama,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',True,,,
ch6_intro_2,Tak ada yang menunggu di ujung jalan ini,ch6_intro_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',False,,,
ch6_intro_3,Mereka bilang hidup harus terus berjalan. Tapi ke mana?,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',True,,,
,,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter6_Dialogue.Chapter6_Dialogue',True,,,
,,,,,,,
,,,,,,,
